Name,Epoch,RA,Dec,type,redshift,Distance_Mpc,Rest_DeltaT,File Path,RMS
ZTF18aagstdc,3,15:50:03.55,+42:05:18.5,SN Ia,0.03,128.57142857142858,2204.6019417477896,final_luminosity_arrays\ZTF18aagstdc_epoch_3_lum.npy,2.215766943542271e+27
ZTF18aagtcxj,1,16:32:11.55,+42:42:48.1,SN Ia,0.032,137.14285714285714,380.0830372524368,final_luminosity_arrays\ZTF18aagtcxj_epoch_1_lum.npy,2.443904777240745e+27
ZTF18aagtcxj,2,16:32:11.55,+42:42:48.1,SN Ia,0.032,137.14285714285714,1276.4008667098012,final_luminosity_arrays\ZTF18aagtcxj_epoch_2_lum.npy,2.9833273109748795e+27
ZTF18aagtcxj,3,16:32:11.55,+42:42:48.1,SN Ia,0.032,137.14285714285714,2188.222572136158,final_luminosity_arrays\ZTF18aagtcxj_epoch_3_lum.npy,3.601580636831585e+27
ZTF18aagtwyh,1,12:39:41.92,+16:32:16.5,SN Ia,0.06604,283.0285714285714,-756.2622402530893,final_luminosity_arrays\ZTF18aagtwyh_epoch_1_lum.npy,1.1662291835623057e+28
ZTF18aagtwyh,2,12:39:41.92,+16:32:16.5,SN Ia,0.06604,283.0285714285714,158.33758714550734,final_luminosity_arrays\ZTF18aagtwyh_epoch_2_lum.npy,1.3528671758315469e+28
ZTF18aagtwyh,3,12:39:41.92,+16:32:16.5,SN Ia,0.06604,283.0285714285714,1024.158757082845,final_luminosity_arrays\ZTF18aagtwyh_epoch_3_lum.npy,9.605551901903862e+27
ZTF18aahatvc,1,15:22:04.57,+30:02:55.5,SN Ia-91T,0.0778,333.42857142857144,-874.2780861908617,final_luminosity_arrays\ZTF18aahatvc_epoch_1_lum.npy,1.5743761437311123e+28
ZTF18aahatvc,2,15:22:04.57,+30:02:55.5,SN Ia-91T,0.0778,333.42857142857144,149.10287502643268,final_luminosity_arrays\ZTF18aahatvc_epoch_2_lum.npy,1.678391261359197e+28
ZTF18aahatvc,3,15:22:04.57,+30:02:55.5,SN Ia-91T,0.0778,333.42857142857144,923.8291693296428,final_luminosity_arrays\ZTF18aahatvc_epoch_3_lum.npy,1.3581226524991053e+28
ZTF18aahesrp,1,08:35:45.43,+28:16:12.9,SN Ia,0.07,300.00000000000006,374.42150181725134,final_luminosity_arrays\ZTF18aahesrp_epoch_1_lum.npy,1.224550378247507e+28
ZTF18aahesrp,2,08:35:45.43,+28:16:12.9,SN Ia,0.07,300.00000000000006,1255.7299130322046,final_luminosity_arrays\ZTF18aahesrp_epoch_2_lum.npy,1.2493376940729228e+28
ZTF18aahesrp,3,08:35:45.43,+28:16:12.9,SN Ia,0.07,300.00000000000006,2142.645800882672,final_luminosity_arrays\ZTF18aahesrp_epoch_3_lum.npy,1.376197265175181e+28
ZTF18aahfbqp,1,10:26:42.84,+21:43:26.1,SN Ia,0.04136,177.25714285714287,-583.3499715761869,final_luminosity_arrays\ZTF18aahfbqp_epoch_1_lum.npy,5.748027236492755e+27
ZTF18aahfbqp,2,10:26:42.84,+21:43:26.1,SN Ia,0.04136,177.25714285714287,336.6008619492029,final_luminosity_arrays\ZTF18aahfbqp_epoch_2_lum.npy,4.959729808952493e+27
ZTF18aahfbqp,3,10:26:42.84,+21:43:26.1,SN Ia,0.04136,177.25714285714287,1181.64964431073,final_luminosity_arrays\ZTF18aahfbqp_epoch_3_lum.npy,4.894423978429601e+27
ZTF18aahfeiy,1,10:17:15.56,+43:31:24.1,SN Ia,0.07124,305.3142857142857,386.276651357236,final_luminosity_arrays\ZTF18aahfeiy_epoch_1_lum.npy,1.7172324003956e+28
