Name,Epoch,RA,Dec,type,redshift,Distance_Mpc,Rest_DeltaT,Peak Luminosity,RMS,Flux_mjy,RMS_mjy,File Path,fits_path,center_lum
ZTF18acrcgyb,1,02:06:23.82,-13:22:25.2,SN Ia,0.08,342.85714285714283,157.03796939320722,1.4185159392115783e+28,2.4878764260408823e+28,0.1008534018183126,0.1768851797385597,final_luminosity_arrays\ZTF18acrcgyb_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcgyb_epoch_1.fits,-3.7313077528725297e+28
ZTF18acrcgyb,2,02:06:23.82,-13:22:25.2,SN Ia,0.08,342.85714285714283,1070.926858282096,1.6940525924116006e+28,1.9682412318017824e+28,0.1204434593091718,0.1399397093890793,final_luminosity_arrays\ZTF18acrcgyb_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcgyb_epoch_2.fits,-2.2765157074123253e+28
ZTF18acrcgyb,3,02:06:23.82,-13:22:25.2,SN Ia,0.08,342.85714285714283,1919.075006430244,1.973565048565163e+28,1.877029448257381e+28,0.1403161877533421,0.1334546554862208,final_luminosity_arrays\ZTF18acrcgyb_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcgyb_epoch_3.fits,-4.9155814578594233e+27
ZTF18acrcizr,1,01:23:18.95,+22:11:50.9,SN Ia,0.045,192.8571428571429,153.7425903772766,1.0386370222502212e+28,5.96037534164199e+27,0.2333861484657972,0.1339341105989879,final_luminosity_arrays\ZTF18acrcizr_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcizr_epoch_1.fits,3.738458214656626e+27
ZTF18acrcizr,2,01:23:18.95,+22:11:50.9,SN Ia,0.045,192.8571428571429,1008.2880449227312,6.35812583796651e+27,4.812306490637029e+27,0.1428697869414462,0.1081361412342949,final_luminosity_arrays\ZTF18acrcizr_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcizr_epoch_2.fits,8.729028410697057e+26
ZTF18acrcizr,3,01:23:18.95,+22:11:50.9,SN Ia,0.045,192.8571428571429,1928.862207602157,6.30692569409968e+27,5.761918243489224e+27,0.1417192979715763,0.1294746305478835,final_luminosity_arrays\ZTF18acrcizr_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcizr_epoch_3.fits,-3.2710879584290044e+27
ZTF18acrcogn,1,02:42:41.27,-00:00:32.0,SN II,0.00379,16.242857142857144,-342.7752913680656,2.873550866171297e+27,8.018966258775485e+26,9.102837182581425,2.54028581102372,final_luminosity_arrays\ZTF18acrcogn_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcogn_epoch_1.fits,1.859796495133907e+27
ZTF18acrcogn,2,02:42:41.27,-00:00:32.0,SN II,0.00379,16.242857142857144,628.5434107509036,9.394066842147288e+26,7.054319824539809e+26,2.9758533928543325,2.2347005808998426,final_luminosity_arrays\ZTF18acrcogn_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcogn_epoch_2.fits,5.3907160924344546e+26
ZTF18acrcogn,3,02:42:41.27,-00:00:32.0,SN II,0.00379,16.242857142857144,1548.058448756861,4.364115027343244e+26,5.750743473515138e+26,1.382464775815606,1.8217475391695344,final_luminosity_arrays\ZTF18acrcogn_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcogn_epoch_3.fits,2.8735407232900794e+26
ZTF18acrcyqw,1,07:23:14.64,+56:31:30.3,SN IIb,0.04,171.42857142857142,158.25441818003756,5.067857269411771e+27,4.907430898237925e+27,0.1441254571545869,0.1395650985560828,final_luminosity_arrays\ZTF18acrcyqw_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcyqw_epoch_1.fits,1.9436728435789516e+27
ZTF18acrcyqw,2,07:23:14.64,+56:31:30.3,SN IIb,0.04,171.42857142857142,1047.6774951031146,5.907912197254648e+27,3.6761587833381385e+27,0.1680158893577754,0.1045482806673077,final_luminosity_arrays\ZTF18acrcyqw_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcyqw_epoch_2.fits,-7.048703358919972e+26
ZTF18acrcyqw,3,07:23:14.64,+56:31:30.3,SN IIb,0.04,171.42857142857142,1911.139033564653,9.581962452034518e+27,3.99475570118889e+27,0.2725026861298829,0.1136090318345773,final_luminosity_arrays\ZTF18acrcyqw_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrcyqw_epoch_3.fits,1.781372968473117e+27
ZTF18acrdciw,1,07:53:48.78,+02:25:07.9,SN Ia-pec,0.05,214.28571428571428,-297.4914241622069,7.075992231669778e+27,6.842229709490574e+27,0.1287904451601207,0.1245375328704937,final_luminosity_arrays\ZTF18acrdciw_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrdciw_epoch_1.fits,-3.3516431445464885e+27
ZTF18acrdciw,2,07:53:48.78,+02:25:07.9,SN Ia-pec,0.05,214.28571428571428,623.460956790174,8.303953128934647e+27,8.824468998118658e+27,0.1511406153440475,0.1606168814229532,final_luminosity_arrays\ZTF18acrdciw_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acrdciw_epoch_2.fits,1.8405468007111477e+26
